id	area	spec_section	interpretation	current_gap	implementation	acceptance
A00	CP,CG,AP,CM,EV,PL	1	초록의 12원칙은 동시에 만족해야 하는 시스템 요구다. 휴면은 실행 기본 상태이고 사고 여부 자체가 최적화 대상이다.	현재 manager가 계획·역할 호출을 결정하며 12원칙을 강제하는 공통 admission이 없다.	이벤트에서 영향 영역을 먼저 계산하고 역할·정밀도·컨텍스트 허가를 발급한다. 검증·통합·구조 학습까지 하나의 결과 피드백 경로로 닫는다.	T15: 전체 실행 trace에 12원칙의 결정·증거·학습 결과가 모두 존재해야 한다.
A01	AP,CM,PL	8	모든 태스크×모든 역할×전체 컨텍스트×최대 추론이 만드는 비용을 각각 줄여야 한다. UI 문자열과 공유 인터페이스 예시는 역할 필요성이 다름을 뜻한다.	worker 수 제한은 있지만 역할의 유용성·컨텍스트·깊이 선택 비용은 별도 제어되지 않는다.	task/role/context/profile별 실측 비용을 분리하고 단순 문자열 변경과 다중 인터페이스 변경에 다른 허가·통합 의무를 만든다.	T02,T13: 두 fixture의 활성 역할·컨텍스트·통합 의무 차이를 확인한다.
A02	CP,AP,CM,PL	4	2.1은 무계산→결정론→저가→일반→심층→다중 검토 순서, 2.2는 휴면, 2.3은 국소 context, 2.4는 구조적 실패 학습이다.	기존 prompt의 지시만으로 이 네 가지 순서를 강제할 수 없다.	preflight 결과로 잔여 판단을 만들고 grant 없이 추론하지 못하게 한다. role selector를 적용하고 학습 DSL에서 task.name 조건을 거절한다.	T02,T03,T04,T11: L0에서 시작하며 Foo라는 이름을 바꿔도 구조가 같으면 같은 정책 판단이다.
A03	CP	15	생물학 자체를 복제하는 것이 아니라 계산 원리를 추상화한다.	신경과학 주장을 실행 명세나 성능 증명으로 사용할 기반은 없다.	생물학 문장은 설계 동기로 보존하고 희소성·이벤트·국소성·정밀도·재사용을 관찰 가능한 runtime 계약으로 번역한다.	T13: 절감 효과는 측정값으로 평가하고 생물학적 유사성으로 대체하지 않는다.
A03.1	AP,PL	8	zi가 0인 역할이 다수여야 하며 비용은 실제 활성 역할에 대해서만 합산한다.	역할 등록·worker 수 제한과 역할 활성화 판단이 분리돼 있지 않다.	role catalog와 AgentRun을 분리하고 candidate 인덱스·activate/skip decision을 저장한다. dormant role은 세션을 생성하지 않는다.	T02: 9개 등록 역할 중 필요한 2개만 run을 만들고 나머지는 비활성 근거를 재구성한다.
A03.2	CP	4	Code/Test/Dependency/Completion/Confidence/Requirement/Integration 변화가 계산을 일으킨다.	readiness 전체 스캔과 manager의 상태 확인 호출에 의존한다.	outbox 소비자가 typed event를 signal로 투영하고 영향 인덱스만 갱신한다. 재시작 reconciliation은 모델 실행과 분리한다.	T01: idle polling·동일 이벤트 재전달에 추가 모델 호출이 없다.
A03.3	CG,CM	9	Task/Knowledge 관계를 통해 정보 전달을 국소화한다.	관련 artifact 조회는 있으나 지식 관계와 강제 context 경계가 없다.	knowledge/decision/evidence의 소비 관계를 저장하고 role별 관련 포트만 context manifest에 포함한다.	T04: 독립 subtree의 비참조 문서가 prompt에 포함되지 않는다.
A03.4	CP,AP	8	Rule→Classifier→Small model→Reasoning model→Deep review는 낮은 정밀도로 시작하는 계산 사다리다.	모든 manager 세션이 전역 모델 설정을 사용한다.	결정론 분류와 모델 분류를 구별하고 미해결 신호에만 capability 검증된 다음 profile을 허가한다.	T03: 정적 분류가 충분하면 classifier 모델조차 호출하지 않는다.
A03.5	CM	9	decision/analysis/test/architecture/dependency/risk/research를 모두 재사용한다.	현재 exact task output·stage cache만으로 일곱 인지 종류의 독립 재사용이 충족되지 않는다.	종류별 CognitiveRecord와 semantic view vector를 저장하고 각각 유효성·근거·만료를 확인한다.	T04: 일곱 종류 각각 hit/miss/부분 무효화/만료 시나리오를 갖는다.
A04	CP,AP,EV,PL	1	Ingestor→Extractor→Deterministic/Risk→Router→Role→Graph→Integration→Validation→Learning의 모든 연결이 필요하다.	graph engine은 결정론적이지만 live manager가 앞단 판단을 소유한다.	graph-runtime이 control runtime을 생성하고 event/evidence와 role result로 전체 흐름을 연결한다. OpenCode는 허가된 판단 실행만 맡는다.	T15: 앞단 신호부터 마지막 policy feedback까지 끊긴 구간 없이 trace된다.
A05	CG,ST	3	Task Graph는 트리 외 교차 관계와 depends_on/blocks/implements/validates/integrates_with/generated_from/supersedes를 표현한다.	계층·의존성·artifact lineage가 여러 구조에 분리되어 causal relation 의미가 통일되지 않았다.	typed edge registry에 일곱 관계를 등록하고 hierarchy/DAG 실행 순서/일반 인과 그래프를 분리한다.	T05: 교차 의존과 각 relation의 전파·비전파 의미 및 cycle 처리가 검증된다.
