requirement	text	contract
A00	1. **Sparse Agent Activation**	AP의 role별 activation decision과 단일 사용 grant로 필요한 역할만 실행한다. A11–A12, T02.
A00	2. **Event-Driven Execution**	CP의 state/event/outbox transaction과 consumer로 의미 변화에서만 계산을 시작한다. A65–A66, T01.
A00	3. **Local Context Retrieval**	CM의 role selector·port 관계·budget manifest로 입력을 제한한다. A15–A18, T04.
A00	4. **Adaptive Reasoning Precision**	AP/EX가 실제 capability를 가진 L0–L5 profile을 선택하고 집행한다. A14, T03.
A00	5. **Deterministic Validation Before Reasoning**	EV가 해당 변화의 validator를 먼저 실행하고 잔여 질문만 모델에 보낸다. A13, T03.
A00	6. **Task and Dependency Graph Based Orchestration**	CG가 typed 관계와 실행 DAG를 저장·검증한다. A05/B13–B15, T05.
A00	7. **Integration-Aware Multi-Task Validation**	공유 boundary의 exact output tuple에 독립 통합 의무를 만든다. A19–A22, T10.
A00	8. **Evidence-Based Escalation**	위반·미해결 질문·실패 근거를 검증한 router만 추가 grant를 낸다. A38, T03.
A00	9. **Dormant-by-Default Agents**	등록 역할에 상시 모델 세션을 만들지 않고 waiting도 event 기반으로 둔다. A09, T02.
A00	10. **Self-Improving Activation Policies**	과거 activate/skip outcome을 후보→shadow→검증→활성 정책으로 반영한다. A28–A31, T11.
A00	11. **Reusable Intermediate Knowledge**	일곱 인지 종류의 record와 dependency view vector를 저장한다. A03.5/A32–A35, T04.
A00	12. **Structural Rather Than Case-Specific Error Correction**	파일명/ID 특례를 거절하고 관계·boundary·invariant 기반 DSL을 학습한다. A30/B66, T11.
A02	No computation	검증된 동일 입력 인지/실행 결과가 있거나 의무가 없으면 L0로 모델 호출 없이 채택/보존한다.
A02	Deterministic computation	L1 validator가 실제 AST/type/schema/test/constraint evidence를 생성한다.
A02	Cheap inference	L1 뒤 남은 좁은 분류/판단만 저비용 capability profile L2로 허가한다.
A02	Normal reasoning	L2로 해소되지 않은 도메인 질문에 L3 grant를 발급한다.
A02	Deep reasoning	중대한 위험·불확실성 근거가 요구할 때 L4 profile을 선택한다.
A02	Multi-agent review	L5에서 독립 역할 결과를 구조화하고 충돌을 검증한다. 고정 전 역할 fanout이 아니다.
A03.2	Code Changed	실제 code snapshot diff event를 만들고 semantic extractor로 넘긴다.
A03.2	Test Failed	실패 receipt를 evidence화하고 QA hard obligation 및 원인 propagation을 생성한다.
A03.2	Dependency Changed	변경 edge/input view의 consumer index부터 영향을 계산한다.
A03.2	Task Completed	결과 채택·예측오차·공유 boundary 검사를 유발한다. 모든 역할 재호출 event가 아니다.
A03.2	Confidence Dropped	evidence 기반 confidence 갱신에서 필요한 역할만 재평가한다.
A03.2	Requirement Changed	explicit requirement를 critical source로 등록하고 관련 goal/consumer에 hard 전파한다.
A03.2	Integration Conflict Detected	exact 조합 conflict에서 causal repair region과 Integration/QA 의무를 만든다.
A03.5	decision	검증된 DecisionVersion과 assumption/evidence 소비 vector를 캐시한다.
A03.5	analysis	분석 conclusion/question별 CognitiveRecord와 input view를 캐시한다.
A03.5	test result	실제 validator/command/environment/input/output hash와 receipt가 같은 결과만 재사용한다.
A03.5	architecture reasoning	boundary/dependency 의미 view가 유효한 architecture conclusion을 재사용한다.
