field	contract
Task.id	서버가 할당하는 stable task identity이며 spec/attempt/version과 구분한다.
Task.title	표시용 제목이다. 제목 변경만으로 semantic cache나 downstream을 무효화하지 않는다.
Task.objective	승인 목표의 의미를 TaskSpecVersion에 고정하고 변경은 goal/subgoal signature를 생성한다.
Task.status	기존 상태와 의미 대응한다. review는 implemented 이후 검증 의무 상태이며 completed는 전체 완료 conjunction을 통과해야 한다.
Task.parent	계층 부모 참조이다. 외래키와 hierarchy cycle을 검사하며 인과 의존성과 구분한다.
Task.children	정규화 parent 관계로 조회한다. 별도 배열을 이중 갱신하여 불일치를 만들지 않는다.
Task.dependencies	typed CausalEdgeVersion의 실행 의존 view이다. source→consumer 방향과 버전을 고정한다.
Task.artifacts	actual artifact/version refs이다. 문자열 요약이 아니라 실제 output hash·계보로 검증한다.
Task.assumptions	버전 가정 참조를 저장하고 invalidation 시 assumes consumer index로 전파한다.
Task.decisions	DecisionVersion 참조이다. validated/executed/비영향 결정은 immutable로 보호한다.
Task.evidence	EvidenceVersion exact refs를 저장하고 출처·hash·유효기간을 검증한다.
Task.risk	현재 RiskState의 version ref로 저장하고 독립 확률/보수 score를 구분한다.
Task.confidence	[0,1] 범위 및 evidence 근거를 검증하고 중요 dependency min으로 집계한다.
Task.version	specVersion/runtime generation/attempt token을 분리하여 각 변경 의미를 보존한다.
Role.id	role identity이며 실제 worker/run ID와 다르다.
Role.name	표시용 이름이다. 이름 문자열이 activation condition이 되지 않는다.
Role.purpose	역할의 책임을 불변 RoleVersion에 저장하고 다른 역할과 중복 평가에 사용한다.
Role.capabilities	도메인 능력 집합으로 전문 역할 필요성과 기존 역할 부족을 평가한다.
Role.activationPolicy	불변 정책 버전 참조이다. grant 발급에서 hard/soft/quota를 서버가 평가한다.
Role.requiredContext	relation/port/evidence selector 집합이다. prompt 요청이 아닌 context gateway의 강제 필터다.
Role.outputSchema	structured result schema의 불변 ref이다. 파싱과 의미·근거 검증 전 결과를 채택하지 않는다.
Role.validators	필요 deterministic/role 검증자 version refs이다. 누락된 mandatory validator는 완료를 막는다.
SignalSet.changedFiles	실제 before/after code snapshot diff의 파일 참조이다. 파일명 규칙 대신 의미 추출 입력으로 사용한다.
SignalSet.changedSymbols	AST/symbol analyzer의 변경 symbol과 provenance이다. 분석 불가를 빈 집합으로 위조하지 않는다.
SignalSet.changedInterfaces	실제 public port/contract 변경 참조이다. shared boundary·consumer 검토에 연결한다.
SignalSet.failingTests	실행 receipt에 연결된 실패 test refs이다. QA hard trigger 근거가 된다.
SignalSet.affectedDependencies	graphVersion에 고정된 영향 dependency refs이며 단순 파일 수로 대체하지 않는다.
SignalSet.uncertainty	미해결 질문·unknown 판정의 정규화 score와 근거를 저장한다.
SignalSet.risk	일반 위험 score/model version이다. 값만 제출한 agent 자기평가로 확정하지 않는다.
SignalSet.integrationRisk	공유 경계·미검증 tuple·cross-task 충돌의 별도 위험 score이다.
SignalSet.externalKnowledgeRequired	현재 유효 evidence로 충족되지 않은 외부 사실 요구이다. Research hard trigger에 연결한다.
